"global_id";"ID";"Name";"Text";"Photo";"AdmArea";"District";"Location";"LocationInfo";"InstallationDate";"InstallationComment";"Form";"Details";"Material";"Authors";"InventoryDate";"PlaquePresence";"Condition";"DefectPhoto";"Accessibility";"CommonInfo";"UNOM";"geoData";"geodata_center";
"global_id";"Код";"Наименование";"Надпись";"Фотография";"Административный округ";"Район";"Место установки";"Описание места установки";"Дата установки";"Комментарий к дате установки";"Вид доски";"Описание внешнего вида";"Материал изготовления";"Авторы";"Дата последней инвенторизации";"Признак наличия мемориальной доски на момент инвентаризации";"Степень сохранности на момент осмотра";"Фотография повреждений";"Доступность для осмотра";"Комментарий к инвентаризации, контакты и прочее";"Код адреса по АР";"geoData";"geodata_center";
"2812434";"1645";"Мемориальная доска памяти ополченцев Народного комиссариата иностранных дел РФ";"Победа будет за нами. Памяти сотрудников Народного комиссариата иностранных дел СССР, вступивших здесь 5 июля 1941 года в Народное ополчение, чтобы преградить врагу путь к Москве. Встава, страна огромная, Вставай на смертный бой...";"nested data";"Центральный административный округ";"Мещанский район";"город Москва, улица Кузнецкий Мост, дом 21/5, строение 1";"";"10.02.2014";"";"сложной формы";"С барельефным изображением ополченцев на фоне города";"бронза";"nested data";"01.03.2023";"";"полная";"nested data";"";"Размеры: 150 х 240 см.";"2125855";"{coordinates=[37.626996138, 55.762309204], type=Point}";"{coordinates=[37.626996138, 55.762309204], type=Point}";
"2812437";"1648";"Мемориальная доска Бугримовой Ирине Николаевне";"Народная артистка СССР укротительница львов Ирина Николаевна Бугримова жила в этом доме с 1952 по 2001 год";"nested data";"Центральный административный округ";"Таганский район";"Котельническая наб., дом 1/15, корпус А";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"67165";"{coordinates=[37.642646923, 55.746014092], type=Point}";"{coordinates=[37.642646923, 55.746014092], type=Point}";
"2812439";"1650";"Мемориальная доска Ямщикову Савве Васильевичу";"Выдающийся русский реставратор Савва Ямщиков бывал в этом доме в конце XX - начале XXI веков";"nested data";"Центральный административный округ";"район Хамовники";"Тружеников 1-й пер., дом 12";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"4300342";"{coordinates=[37.572696484, 55.737848858], type=Point}";"{coordinates=[37.572696484, 55.737848858], type=Point}";
"2812441";"1";"Мемориальная доска Холодову Дмитрию Юрьевичу";"17 октября 1994 г. в этом здании при исполнении своего профессионального долга был убит сотрудник газеты «Московский комсомолец», журналист Дмитрий Холодов";"nested data";"Центральный административный округ";"Пресненский район";"улица 1905 Года, дом 7, строение 1";"Здание редакций московских газет, со стороны Звенигородского шоссе";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"2104282";"{coordinates=[37.558848246, 55.762445037], type=Point}";"{coordinates=[37.558848246, 55.762445037], type=Point}";
"2812442";"2";"Мемориальная доска Обросову Павлу Николаевичу";"Здесь с 1927 года по 1937 год работал активный участник революционного движения, член КПСС с 1902 года, видный деятель советской медицины и здравоохранения профессор Павел Николаевич Обросов";"nested data";"Центральный административный округ";"район Хамовники";"город Москва, Большая Пироговская улица, дом 6/2/5, строение 1";"Здание кафедры операционной хирургической и патологической анатомии 1-го Московского медицинского института имени И.М.Сеченова";"25.02.1983";"";"горизонтальная";"Текстовая с горельефным портретом";"бронза";"nested data";"27.03.2016";"";"полная";"nested data";"";"";"2120861";"{coordinates=[37.563256477, 55.729350837], type=Point}";"{coordinates=[37.563256477, 55.729350837], type=Point}";
"2812443";"3";"Мемориальная доска Попкову Валерию Ивановичу";"В этом доме с 1969 года по 1983 год жил советский ученый-энергетик, Герой Социалистического труда, лауреат Государственной премии СССР, академик Валерий Иванович Попков";"nested data";"Центральный административный округ";"район Якиманка";"улица Академика Петровского, дом 3";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"19610";"{coordinates=[37.603202851, 55.721435308], type=Point}";"{coordinates=[37.603202851, 55.721435308], type=Point}";
"2812444";"4";"Мемориальная доска Рочегову Александру Григорьевичу";"Архитектор, академик Александр Рочегов жил в этом доме с 1967 по 1998";"nested data";"Центральный административный округ";"район Якиманка";"улица Академика Петровского, дом 3";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"19610";"{coordinates=[37.603202851, 55.721435308], type=Point}";"{coordinates=[37.603202851, 55.721435308], type=Point}";
"2812445";"5";"Мемориальная доска Соболеву Сергею Львовичу";"В этом доме жил в 1968 - 1979 и 1983 - 1989 годах выдающийся ученый, Герой Социалистического труда, лауреат Государственных премий СССР, академик Сергей Львович Соболев";"nested data";"Центральный административный округ";"район Якиманка";"улица Академика Петровского, дом 3";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"19610";"{coordinates=[37.603202851, 55.721435308], type=Point}";"{coordinates=[37.603202851, 55.721435308], type=Point}";
"2812446";"6";"Мемориальная доска Туполеву Андрею Николаевичу";"Здесь с 1918 по 1972 год работал Генеральный конструктор самолетов, трижды Герой Социалистического труда, академик Андрей Николаевич Туполев";"nested data";"Центральный административный округ";"Басманный район";"Радио ул., дом 24, корпус 1";"Угол набережной академика Туполева и улицы Радио";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"4301065";"{coordinates=[37.683400229, 55.762206161], type=Point}";"{coordinates=[37.683400229, 55.762206161], type=Point}";
"2812448";"8";"Мемориальная доска Зубовым Павлу Васильевичу и Василию Павловичу";"В этом доме жили и работали видные деятели русской науки и культуры Павел Васильевич и Василий Павлович Зубовы";"nested data";"Центральный административный округ";"Таганский район";"город Москва, Большая Коммунистическая улица, дом 9, строение 1";"";"01.07.1968";"";"вертикальная";"Текстовая";"";"nested data";"13.03.2016";"";"полная";"nested data";"";"";"2131011";"{coordinates=[37.656830994, 55.742633602], type=Point}";"{coordinates=[37.656830994, 55.742633602], type=Point}";
"2812449";"9";"Мемориальная доска в память о размещении Штаба Красной гвардии в октябре 1917 года";"На этом месте находился дом, в котором размещался Штаб Красной гвардии Военно-революционного комитета Рогожско-Симоновского района в октябре 1917 г.";"nested data";"Центральный административный округ";"Таганский район";"Александра Солженицына ул., дом 24";"";"";"";"";"";"";"nested data";"";"";"";"nested data";"";"";"10641";"{coordinates=[37.662509089, 55.743672187], type=Point}";"{coordinates=[37.662509089, 55.743672187], type=Point}";
